learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2040,5052,43,-0.1595508941194918,-0.06977023240731542,True,True,True,False
2040,5052,44,-0.1443745699512215,-0.024879531905850988,True,True,True,False
2040,5052,45,-0.16146984168826922,-0.11478226010860532,True,True,True,False
2040,5052,46,-0.15986722529540837,-0.06723507377764262,True,True,True,False
2040,5052,47,-0.17008702771565962,-0.0901762922966218,True,True,True,True
2041,5050,0,-0.1667901427609818,-0.13925036353636003,True,True,True,True
2041,5050,1,-0.1731543929651701,-0.14623192715728978,True,True,True,False
2041,5050,2,-0.18311275622129616,-0.14482092162559387,True,True,True,False
2041,5050,3,-0.15230713720004546,-0.0668592371387374,True,True,True,False
2041,5050,4,-0.15195028345867503,-0.08709256568847278,True,True,True,False
2041,5050,5,-0.17554760363040284,-0.1413963367985534,True,True,True,False
2041,5050,6,-0.17521856342402106,-0.13060297383675595,True,True,True,False
2041,5050,7,-0.1886555861116421,-0.17868905855769393,True,True,True,False
2041,5050,8,-0.1755409467009131,-0.1220618692083157,True,True,True,False
2041,5050,9,-0.1661132702267996,-0.10203899177802121,True,True,True,False
2041,5050,10,-0.15580949894852064,-0.11179633036347084,True,True,True,False
2041,5050,11,-0.19495186715493382,-0.18221091073379903,True,True,True,False
2041,5050,12,-0.17295074739542923,-0.15337527622018057,True,True,True,False
2041,5050,13,-0.16058498160559512,-0.12098195595903415,True,True,True,False
2041,5050,14,-0.19040585883932748,-0.16450375647461224,True,True,True,False
2041,5050,15,-0.17367174318576506,-0.12008072967561514,True,True,True,False
2041,5050,16,-0.14718227920030114,-0.05151547523179201,True,True,True,False
2041,5050,17,-0.15885013504460088,-0.13003443903750816,True,True,True,False
2041,5050,18,-0.16084292593323668,-0.130485647884961,True,True,True,False
2041,5050,19,-0.1580492365407485,-0.08087911427713604,True,True,True,False
2041,5050,20,-0.14818609492023527,-0.055759599837975404,True,True,True,True
2041,5050,21,-0.15958990485690858,-0.08902743506116344,True,True,True,False
2041,5050,22,-0.15811311238450004,-0.08170232700086359,True,True,True,False
2041,5050,23,-0.1773617891447697,-0.13307648735479943,True,True,True,False
2041,5050,24,-0.15712392201323666,-0.09897026793544636,True,True,True,False
2041,5050,25,-0.1577296032817188,-0.12599464109865943,True,True,True,False
2041,5050,26,-0.16019655185916148,-0.09419436307063245,True,True,True,False
2041,5050,27,-0.17493291788382215,-0.1479994961034053,True,True,True,False
2041,5050,28,-0.15390054872265505,-0.10310238559385594,True,True,True,False
2041,5050,29,-0.17681135225267658,-0.14408648727916074,True,True,True,False
2041,5050,30,-0.1617276637042384,-0.13002742712817683,True,True,True,False
2041,5050,31,-0.15670409380053826,-0.1331281863902919,True,True,True,False
2041,5050,32,-0.18178368050886418,-0.1479016924399576,True,True,True,False
2041,5050,33,-0.18044636753097604,-0.14263216232219017,True,True,True,False
2041,5050,34,-0.17190466110623764,-0.11772443181192128,True,True,True,False
2041,5050,35,-0.1573432811236446,-0.09178572460265304,True,True,True,False
2041,5050,36,-0.17158352886651487,-0.15642419305757488,True,True,True,False
2041,5050,37,-0.1917992064541662,-0.17690669840972753,True,True,True,False
2041,5050,38,-0.16950446883371076,-0.11331269933413743,True,True,True,False
2041,5050,39,-0.15683969685724264,-0.10650665071111853,True,True,True,False
2041,5050,40,-0.17908385232132334,-0.16951317488687986,True,True,True,True
2041,5050,41,-0.17258950188311845,-0.12633169852033288,True,True,True,False
2041,5050,42,-0.15493759811439767,-0.06959651770983871,True,True,True,False
2041,5050,43,-0.1660920202289046,-0.09806607099985122,True,True,True,False
2041,5050,44,-0.15683500447905477,-0.08332697342299233,True,True,True,False
2041,5050,45,-0.15360046123370769,-0.06881608338563311,True,True,True,False
2041,5050,46,-0.17910251065785582,-0.1571940740449597,True,True,True,False
2041,5050,47,-0.16399878676917495,-0.08930832866127693,True,True,True,False
2041,5051,0,-0.17017201816274152,-0.11571386571447433,True,True,True,False
2041,5051,1,-0.17145623096625823,-0.11350635275890905,True,True,True,False
2041,5051,2,-0.15691213643409319,-0.10094737558791687,True,True,True,False
2041,5051,3,-0.19434706717393593,-0.1821581562946808,True,True,True,False
2041,5051,4,-0.1699610702914071,-0.12247553004165451,True,True,True,False
2041,5051,5,-0.17918074168944254,-0.13258866524892993,True,True,True,False
2041,5051,6,-0.1787009749556321,-0.14401790374006854,True,True,True,False
