learner_seed,evaluation_seed,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2303,9303,clean_permanent_raw_release,2,0.2456910227848515,0.15008372763512856,-0.0344656047061386,-0.3542718453145919,True,,,,0,-0.028954842748870346
2303,9303,clean_resident_predictive_authority,2,0.2456910227848515,0.15008372763512856,-0.0344656047061386,-0.3542718453145919,True,,,,0,-0.028954842748870346
2303,9303,clean_permanent_raw_release,3,0.020134496122950984,-0.35894264606715665,-0.07560843441295509,-0.7030881615574505,True,,,,0,-0.350046782514526
2303,9303,clean_resident_predictive_authority,3,0.020134496122950984,-0.35894264606715665,-0.07560843441295509,-0.7030881615574505,True,,,,0,-0.350046782514526
2303,9303,clean_permanent_raw_release,4,-0.0025032388432556507,0.2794822848295412,0.09598356580284736,-0.316278554980288,True,,,,0,-0.02989531519851926
2303,9303,clean_resident_predictive_authority,4,-0.0025032388432556507,0.2794822848295412,0.09598356580284736,-0.316278554980288,True,,,,0,-0.02989531519851926
2303,9303,clean_permanent_raw_release,5,0.0832354515864333,0.08919810556955488,0.029286735477960457,0.14136958890698725,True,,,,0,-0.03755485075030232
2303,9303,clean_resident_predictive_authority,5,0.0832354515864333,0.08919810556955488,0.029286735477960457,0.14136958890698725,True,,,,0,-0.03755485075030232
2303,9303,clean_permanent_raw_release,6,0.13868859157589747,-0.13063127651829798,0.09659858959677822,0.9833861858186874,True,,,,0,-0.3898521536828263
2303,9303,clean_resident_predictive_authority,6,0.13868859157589747,-0.13063127651829798,0.09659858959677822,0.9833861858186874,True,,,,0,-0.3898521536828263
2303,9303,clean_permanent_raw_release,7,0.21764735084580905,-0.3576190431323695,-0.05266033866478381,0.556092416963792,True,,,,0,-0.018832852016445155
2303,9303,clean_resident_predictive_authority,7,0.21764735084580905,-0.3576190431323695,-0.05266033866478381,0.556092416963792,True,,,,0,-0.018832852016445155
2303,9303,clean_permanent_raw_release,8,0.13827885660017908,-0.3573336521559337,0.11810256081895051,-0.7375749730044421,True,,,,0,-0.0602050984618329
2303,9303,clean_resident_predictive_authority,8,0.13827885660017908,-0.3573336521559337,0.11810256081895051,-0.7375749730044421,True,,,,0,-0.0602050984618329
