seed,rho,mechanism,first_violation_step,mean_reward
2210,0.04,clean,,-0.10328415861856416
2210,0.04,clean,,-0.060883656825569114
2210,0.04,clean,,-0.051235790324318756
2210,0.04,clean,,-0.142218348853578
2210,0.04,clean,,-0.22438821093293582
2210,0.04,clean,,-0.3371200235308084
2210,0.04,clean,,-0.11660072857262424
2210,0.04,clean,,-0.06863565512783971
2210,0.04,clean,,-0.04576863764429426
2210,0.04,clean,,-0.07579956380774404
2210,0.04,clean,,-0.20677485729020495
2210,0.04,clean,,-0.31346388172520107
2210,0.04,clean,,-0.4598567246255682
2210,0.04,clean,,-0.07876239171015025
2210,0.04,clean,,-0.05020326670598198
2210,0.04,clean,,-0.04707047491355784
2210,0.04,clean,,-0.11769041865159284
2210,0.04,clean,,-0.2926359301286275
2210,0.04,clean,,-0.4314418323393208
2210,0.04,clean,14,-0.6241788448959421
2210,0.04,poison,5,-1.487187496637638
2210,0.04,poison,11,-1.2879622645470201
2210,0.04,poison,12,-1.1469911382462576
2210,0.04,poison,,-0.9740251085824807
2210,0.04,poison,,-0.8916712999907681
2210,0.04,poison,,-0.8893088076334289
2210,0.04,poison,,-0.9128432461918696
2210,0.04,poison,10,-1.3223057904450504
2210,0.04,poison,11,-1.1734801009659857
2210,0.04,poison,13,-1.0661838967727157
2210,0.04,poison,,-0.9329449957992723
2210,0.04,poison,,-0.8909145452839121
2210,0.04,poison,,-0.908616369130878
2210,0.04,poison,,-0.951834563879412
2210,0.04,poison,10,-1.200609456737131
2210,0.04,poison,11,-1.086527513659632
2210,0.04,poison,,-1.005026455197353
2210,0.04,poison,,-0.9085283296106407
2210,0.04,poison,,-0.906906341908734
2210,0.04,poison,,-0.9444256873125025
2210,0.04,poison,,-1.0072548022868928
2210,0.04,poison,10,-1.0486997556310154
2210,0.04,poison,,-0.9818863032734093
2210,0.04,poison,,-0.9347475577665655
2210,0.04,poison,,-0.9105202550192742
2210,0.04,poison,,-0.9891876563505375
2210,0.04,poison,,-1.06684997491664
2210,0.04,poison,,-1.1699091147380436
2210,0.04,poison,11,-1.000599530598944
2210,0.04,poison,,-0.9515884849630324
2210,0.04,poison,,-0.920621500040651
2210,0.04,poison,,-0.9367466654303074
2210,0.04,poison,,-1.0565602072322196
2210,0.04,poison,,-1.1551776901653446
2210,0.04,poison,,-1.2851019642334756
2210,0.04,poison,,-0.9711330286462341
2210,0.04,poison,,-0.9339286353250749
2210,0.04,poison,,-0.9230796347688852
2210,0.04,poison,,-0.9803845636022814
2210,0.04,poison,,-1.1428846098829746
2210,0.04,poison,,-1.2641378656899511
2210,0.04,poison,,-1.4376420548944866
