duration,learner_seed,evaluation_seed,condition,batch,true_reward_mean,logged_reward_mean,max_abs_poison,known_sign_flag,scalar_envelope_flag,batch_mean_envelope_flag,trusted_recomputation_flag
48,2400,9400,constrained,13,-0.547330090670332,-0.6855516106125412,1.1137742375837294,False,False,False,True
48,2400,9400,constrained,14,-0.7628591607532639,-1.1653068121439483,1.5847048104132269,False,False,False,True
48,2400,9400,constrained,15,-0.8823779988891827,-0.8487736955419982,1.3529165525577775,False,False,False,True
48,2400,9400,constrained,16,-1.013247985797197,-0.7250144948374438,1.0640351504202439,False,False,False,True
48,2400,9400,constrained,17,-1.2054791176466138,-1.3470579797781015,0.644942008862272,False,False,False,True
48,2400,9400,constrained,18,-2.4568133152573575,-2.1218518204586276,1.9990414949461999,False,False,False,True
48,2400,9400,constrained,19,-3.550826054867425,-3.4431554966172895,0.8613644660010875,False,False,True,True
48,2400,9400,constrained,20,-1.630902031761348,-1.4748930889094924,1.9999580333495843,False,False,False,True
48,2400,9400,constrained,21,-0.8070603794938469,-1.1956684437512803,1.9927650925117946,False,False,False,True
48,2400,9400,constrained,22,-0.6725850305534873,-0.7753828272103354,0.8538088613621585,False,False,False,True
48,2400,9400,constrained,23,-0.6554493946842445,-2.0825220813046723,1.979468150191902,False,False,False,True
48,2400,9400,constrained,24,-0.5912687205264218,-1.2165652033118735,1.929783674223654,False,False,False,True
48,2400,9400,constrained,25,-0.5743548978653958,-0.808509865669834,1.839482752305104,False,False,False,True
48,2400,9400,constrained,26,-0.7536123178912248,-0.7690131878447228,0.2787542979622139,False,False,False,True
48,2400,9400,constrained,27,-0.9373552847019085,-0.9256217777734249,0.05479516354976976,False,False,False,True
48,2400,9400,constrained,28,-1.1712657699893527,-1.35270391547838,0.595386041195294,False,False,False,True
48,2400,9400,constrained,29,-1.3506610623693773,-1.2742025420881213,0.645732228589043,False,False,False,True
48,2400,9400,constrained,30,-1.5552922096852033,-1.5177035099926317,0.2877177534029376,False,False,False,True
48,2400,9400,constrained,31,-1.766269428772816,-1.7894915886255152,0.36545039510863325,False,False,False,True
48,2400,9400,constrained,32,-1.9390755895124336,-2.05323353910753,0.5779076769910879,False,False,False,True
48,2400,9400,constrained,33,-2.580495402448546,-2.6534255409055487,0.4734687660990607,False,False,False,True
48,2400,9400,constrained,34,-2.7311108525294365,-2.5312318373539906,0.7225048591331592,False,False,False,True
48,2400,9400,constrained,35,-6.385392762225543,-5.735829723531955,1.98156110557205,False,True,True,True
48,2400,9400,constrained,36,-5.142431605741371,-4.970376925896913,0.8613644660010875,False,False,True,True
48,2400,9400,constrained,37,-2.359537618641872,-2.519696843432455,0.3642170951372251,False,False,False,True
