learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
2042,poisoned_always_freeze_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,20,0.005,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,20,0.01,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,50,0.0,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,50,0.001,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,50,0.003,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,50,0.005,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,50,0.01,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,100,0.0,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,100,0.001,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,100,0.003,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,100,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,100,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,100,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,100,0.005,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,100,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,100,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,100,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,100,0.01,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,100,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,100,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,100,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
