mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
poisoned_commit_gate_snapshot,0.0,0.0,0.05,0.75,120,0,,-0.18435314378994022
poisoned_commit_gate_snapshot,0.0,0.0,0.05,1.0,120,0,,-0.2974649509331685
poisoned_commit_gate_snapshot,0.0,0.0,0.1,-1.0,120,0,,-0.07884052967159152
poisoned_commit_gate_snapshot,0.0,0.0,0.1,-0.75,120,0,,-0.030417658689486617
poisoned_commit_gate_snapshot,0.0,0.0,0.1,-0.5,120,0,,-0.007148201740453265
poisoned_commit_gate_snapshot,0.0,0.0,0.1,0.0,120,0,,-0.036448807801942325
poisoned_commit_gate_snapshot,0.0,0.0,0.1,0.5,120,0,,-0.16731318493253391
poisoned_commit_gate_snapshot,0.0,0.0,0.1,0.75,120,0,,-0.2740992718974234
poisoned_commit_gate_snapshot,0.0,0.0,0.1,1.0,120,0,,-0.4204999165147497
poisoned_commit_gate_snapshot,0.0,0.0,0.15,-1.0,120,0,,-0.041290586855704865
poisoned_commit_gate_snapshot,0.0,0.0,0.15,-0.75,120,0,,-0.012326221051804887
poisoned_commit_gate_snapshot,0.0,0.0,0.15,-0.5,120,0,,-0.008835001239855277
poisoned_commit_gate_snapshot,0.0,0.0,0.15,0.0,120,0,,-0.0787767126947557
poisoned_commit_gate_snapshot,0.0,0.0,0.15,0.5,120,0,,-0.253591261032563
poisoned_commit_gate_snapshot,0.0,0.0,0.15,0.75,120,0,,-0.39238130711773406
poisoned_commit_gate_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.5845355926535498
clean_a2c_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.5977987195480537
clean_a2c_snapshot,0.0,0.0,-0.15,-0.75,120,0,,-0.401109645969338
clean_a2c_snapshot,0.0,0.0,-0.15,-0.5,120,0,,-0.2590828392741974
clean_a2c_snapshot,0.0,0.0,-0.15,0.0,120,0,,-0.08016842450495933
clean_a2c_snapshot,0.0,0.0,-0.15,0.5,16,0,,-0.04293359372983423
clean_a2c_snapshot,0.0,0.0,-0.15,0.75,120,0,,-0.01088633729353202
clean_a2c_snapshot,0.0,0.0,-0.15,1.0,120,0,,-0.0398028330522656
clean_a2c_snapshot,0.0,0.0,-0.1,-1.0,120,0,,-0.43007686413173135
clean_a2c_snapshot,0.0,0.0,-0.1,-0.75,120,0,,-0.28020633408518464
